
Cycle 1
Physical Cycle 1
Step 1

Time (s),          Potential (V),         Current (A)
7.199744224548     -5.432036876678     -0.009999754839     


Cycle 1
Physical Cycle 1
Step 2

Time (s),          Potential (V),         Current (A)
14.399488449097     3.000025033951     0.000503275078     
21.599231719971     3.000025033951     0.000486670557     
28.798976898193     3.000035047531     0.000473124179     
35.998718261719     3.000046014786     0.000461826799     
43.198463439941     3.000046014786     0.000452116306     
50.398208618164     3.000046014786     0.000443740457     
57.597953796387     3.000056028366     0.000436415547     
64.797698974609     3.000056028366     0.000430120534     
71.997436523438     3.000056028366     0.000424340484     
79.197181701660     3.000056028366     0.000419096381     
86.396926879883     3.000056028366     0.000414472335     
93.596672058105     3.000056028366     0.000410436798     
100.796417236328     3.000066995621     0.000406453823     
107.996162414551     3.000066995621     0.000402733567     
115.195907592773     3.000066995621     0.000399276032     
122.395645141602     3.000066995621     0.000395986659     
129.595397949219     3.000066995621     0.000392928487     
136.795135498047     3.000077009201     0.000390059460     
143.994873046875     3.000077009201     0.000387369102     
151.194625854492     3.000077009201     0.000384867919     
158.394363403320     3.000077009201     0.000382440310     
165.594116210938     3.000077009201     0.000380128273     
172.793853759766     3.000077009201     0.000377973891     
179.993606567383     3.000077009201     0.000375956122     
187.193344116211     3.000077009201     0.000373980380     
194.393081665039     3.000087976456     0.000372141280     
201.592834472656     3.000087976456     0.000370365218     
208.792572021484     3.000087976456     0.000368641719     
215.992324829102     3.000087976456     0.000366918219     
223.192062377930     3.000097990036     0.000365310290     
230.391815185547     3.000097990036     0.000363796978     
237.591552734375     3.000097990036     0.000362283638     
244.791290283203     3.000097990036     0.000360812352     
251.991043090820     3.000097990036     0.000359393627     
259.190795898438     3.000087976456     0.000357985380     
266.390533447266     3.000097990036     0.000356629695     
273.590270996094     3.000097990036     0.000355316064     
280.790008544922     3.000087976456     0.000354054937     
287.989746093750     3.000097990036     0.000352751813     
295.189514160156     3.000097990036     0.000351522234     
302.389251708984     3.000108957291     0.000350376737     
309.588989257813     3.000108957291     0.000349231239     
316.788726806641     3.000097990036     0.000348138274     
323.988494873047     3.000108957291     0.000346992776     
331.188232421875     3.000108957291     0.000345878798     
338.387969970703     3.000108957291     0.000344838394     
345.587707519531     3.000108957291     0.000343808468     
352.787445068359     3.000108957291     0.000342789077     
359.987213134766     3.000108957291     0.000341727660     
367.186950683594     3.000108957291     0.000340760802     
374.386688232422     3.000108957291     0.000339709892     
381.586425781250     3.000108957291     0.000338732527     
388.786163330078     3.000108957291     0.000337755191     
395.985931396484     3.000108957291     0.000336861907     
403.185668945313     3.000097990036     0.000335884542     
410.385406494141     3.000108957291     0.000335012272     
417.585144042969     3.000108957291     0.000334118988     
424.784881591797     3.000118970871     0.000333131116     
431.984649658203     3.000118970871     0.000332258875     
439.184387207031     3.000108957291     0.000331313029     
446.384124755859     3.000108957291     0.000330430281     
453.583862304688     3.000108957291     0.000329547503     
460.783630371094     3.000108957291     0.000328738271     
467.983367919922     3.000108957291     0.000327845017     
475.183105468750     3.000108957291     0.000326993759     
482.382843017578     3.000108957291     0.000326079462     
489.582580566406     3.000108957291     0.000325270259     
496.782348632813     3.000108957291     0.000324387482     
503.982086181641     3.000108957291     0.000323536224     
511.181823730469     3.000108957291     0.000322758540     
518.381591796875     3.000108957291     0.000321854750     
525.581298828125     3.000118970871     0.000321035041     
532.781066894531     3.000118970871     0.000320194318     
539.980773925781     3.000118970871     0.000319437648     
547.180541992188     3.000118970871     0.000318596896     
554.380310058594     3.000118970871     0.000317861268     
561.580017089844     3.000108957291     0.000317041558     
568.779785156250     3.000118970871     0.000316242833     
575.979492187500     3.000118970871     0.000315486192     
583.179260253906     3.000118970871     0.000314729521     
590.379028320313     3.000118970871     0.000314004399     
597.578735351563     3.000118970871     0.000313153141     
604.778503417969     3.000118970871     0.000312406977     
611.978210449219     3.000118970871     0.000311650336     
619.177978515625     3.000118970871     0.000310851639     
626.377746582031     3.000118970871     0.000310126488     
633.577453613281     3.000118970871     0.000309422379     
640.777221679688     3.000118970871     0.000308581628     
647.976989746094     3.000118970871     0.000307867012     
655.176696777344     3.000129938126     0.000307131384     
662.376464843750     3.000118970871     0.000306521833     
669.576171875000     3.000118970871     0.000305744150     
676.775939941406     3.000118970871     0.000305071560     
683.975708007813     3.000118970871     0.000304251851     
691.175415039063     3.000118970871     0.000303558249     
698.375183105469     3.000118970871     0.000302822591     
705.574890136719     3.000118970871     0.000302139495     
712.774658203125     3.000118970871     0.000301466906     
719.974426269531     3.000118970871     0.000300762797     
727.174133300781     3.000118970871     0.000300048181     
734.373901367188     3.000129938126     0.000299333537     
741.573608398438     3.000129938126     0.000298692496     
748.773376464844     3.000129938126     0.000297935825     
755.973144531250     3.000118970871     0.000297242223     
763.172851562500     3.000118970871     0.000296580140     
770.372619628906     3.000118970871     0.000295833976     
777.572326660156     3.000118970871     0.000295171893     
784.772094726563     3.000118970871     0.000294457277     
791.971862792969     3.000118970871     0.000293837220     
799.171569824219     3.000118970871     0.000293091085     
806.371337890625     3.000118970871     0.000292492041     
813.571044921875     3.000118970871     0.000291851000     
820.770812988281     3.000118970871     0.000291178410     
827.970581054688     3.000118970871     0.000290495314     
835.170288085938     3.000118970871     0.000289822725     
842.370056152344     3.000118970871     0.000289108080     
849.569763183594     3.000118970871     0.000288424984     
856.769531250000     3.000118970871     0.000287752395     
863.969299316406     3.000118970871     0.000287090312     
871.169006347656     3.000118970871     0.000286365190     
878.368774414063     3.000118970871     0.000285608519     
885.568542480469     3.000129938126     0.000285030517     
892.768249511719     3.000129938126     0.000284315902     
899.968017578125     3.000129938126     0.000283685338     
907.167724609375     3.000129938126     0.000283023255     
914.367492675781     3.000129938126     0.000282298133     
921.567260742188     3.000129938126     0.000281594024     
928.766967773438     3.000129938126     0.000281005487     
935.966735839844     3.000129938126     0.000280238339     
943.166442871094     3.000129938126     0.000279586762     
950.366210937500     3.000129938126     0.000278945692     
957.565979003906     3.000129938126     0.000278262596     
964.765686035156     3.000129938126     0.000277663581     
971.965454101563     3.000129938126     0.000276959443     
979.165161132813     3.000129938126     0.000276381441     
986.364929199219     3.000129938126     0.000275645813     
993.564697265625     3.000129938126     0.000275036262     
1000.764404296875     3.000129938126     0.000274458260     
1007.964172363281     3.000129938126     0.000273743644     
1015.163879394531     3.000129938126     0.000273144629     
1022.363647460938     3.000129938126     0.000272482546     
1029.563354492188     3.000129938126     0.000271778408     
1036.763183593750     3.000129938126     0.000271189900     
1043.962890625000     3.000129938126     0.000270538323     
1051.162597656250     3.000129938126     0.000269918295     
1058.362426757813     3.000129938126     0.000269193144     
1065.562133789063     3.000139951706     0.000268583623     
1072.761840820313     3.000139951706     0.000268016127     
1079.961547851563     3.000139951706     0.000267343537     
1087.161376953125     3.000139951706     0.000266755029     
1094.361083984375     3.000139951706     0.000266061426     
1101.560791015625     3.000139951706     0.000265472889     
1108.760620117188     3.000139951706     0.000264884380     
1115.960327148438     3.000139951706     0.000264243339     
1123.160034179688     3.000139951706     0.000263591763     
1130.359863281250     3.000139951706     0.000262929680     
1137.559570312500     3.000139951706     0.000262309622     
1144.759277343750     3.000129938126     0.000261752633     
1151.958984375000     3.000139951706     0.000261143112     
1159.158813476563     3.000129938126     0.000260575616     
1166.358520507813     3.000139951706     0.000259797933     
1173.558227539063     3.000139951706     0.000259177905     
1180.758056640625     3.000139951706     0.000258578861     
1187.957763671875     3.000139951706     0.000257958833     
1195.157470703125     3.000149965286     0.000257275737     
1202.357299804688     3.000149965286     0.000256739761     
1209.557006835938     3.000149965286     0.000256119703     
1216.756713867188     3.000139951706     0.000255510182     
1223.956420898438     3.000139951706     0.000254732498     
1231.156250000000     3.000139951706     0.000254049402     
1238.355957031250     3.000139951706     0.000253502920     
1245.555664062500     3.000139951706     0.000252893398     
1252.755493164063     3.000149965286     0.000252294354     
1259.955200195313     3.000149965286     0.000251653313     
1267.154907226563     3.000149965286     0.000251033256     
1274.354736328125     3.000149965286     0.000250423735     
